Station,mean,sum,count
(NONE PROVIDED),22.0,22,1
1 ADRA VILLAWAY,15.0,15,1
1 BIJOU WALK,14.0,14,1
1 CARLAW AVENUE,10.0,10,1
1 CHALKFARM DR,12.0,12,1
1 CHISWICK AVE,6.0,6,1
1 ELMHURST AVE,15.0,15,1
1 FRONT ST,7.0,7,1
1 FRONT ST WEST,10.0,10,1
1 KINGSMILL,28.0,28,1
1 LAIRD DR,10.0,10,1
1 LILY CUP,26.0,26,1
1 MARMAC DR,20.0,20,1
1 MUIRBANK BLVD,20.0,20,1
1 O'CONNOR DR,0.0,0,1
1 QUEEN'S QUAY W,12.0,12,1
1 STRATTON AVE,15.0,15,1
1 WYNFORD DR,5.0,5,1
1-13 MILL STREET,60.0,60,1
10 GERVAIS DR,4.5,9,2
10 GERVAISE DR,8.0,8,1
10 GORDONRIDGE PLACE,0.0,0,1
10 LIVONIA PLACE (MORN,0.0,0,1
10 MARKHAM ROAD,10.0,10,1
10 SCRIVENER SQAURE,10.0,10,1
10 SUNNY GLENWAY,0.0,0,1
10 TEESDALE,0.0,0,1
10 WELLNESS WAY,15.0,15,1
100 BOROUGH DRIVE,22.0,22,1
100 HIGH PARK AVENUE,0.0,0,1
100 RIDGE HILL DR,30.0,30,1
100 STEELES AVENUE,7.0,7,1
1001 FINCH AVE,6.0,6,1
1001 FINCH AVE WEST,6.0,6,1
1001 LAWRENCE AVE E,14.0,14,1
1002 LAWRENCE AVE E,0.0,0,1
1002 LAWRENCE AVE EAST,20.0,20,1
1003 LAWRENCE AVE WEST,30.0,30,1
1006 KIPLING AVE,7.0,7,1
101 CHISWICK AVE,18.0,18,1
101 KENDLETON DRIVE,20.0,20,1
101 MILLIKEN BLVD,10.0,10,1
101 OAKDALE RD,9.0,9,1
1013 YONGE ST,22.0,22,1
1015 WILLIAM ALLEN ROA,5.0,5,1
1015 WILLIAM R ALLEN R,10.0,10,1
1015 WILLIAM R. ALLEN,10.0,10,1
10163 BATHURST STREET,0.0,0,1
1018 KENNEDY RD,20.0,20,1
102 THE POND ROAD,25.0,25,1
1020 MCNICOLL AVE,18.0,18,1
1023 KENNEDY RD,18.0,18,1
1023 LANSDOWNE AVE,9.0,9,1
1025 BRIMLEY RD,15.0,15,1
1025 SHEPPARD AVENUE W,6.0,6,1
1028 OAKWOOD AVE,10.0,10,1
103 PELMO CRESCENT,25.0,25,1
103 SHERBOURNE ST,9.0,9,1
1030 KING STREET WEST,0.0,0,1
1030 SHEPPARD WEST,10.0,10,1
1033 LAWRENCE,16.0,16,1
1035 SHEPPARD AVE,29.0,29,1
1035 SHEPPARD AVE W,20.0,20,1
1035 SHEPPARD AVE WEST,12.0,12,1
1035 SHEPPARD AVENUE W,15.0,15,1
1038 DUFFERIN STREET,5.0,5,1
104 BURNSIDE DRIVE,5.0,5,1
104 FENELON DR,10.0,10,1
1041 EGLINTON AVENUE W,14.0,14,1
1041 SHEPPARD AVE WEST,13.0,13,1
1044 VICTORIA PARK,0.0,0,1
105 DANFORTH AVE,10.0,10,1
105 PRINCES' BOULEVARD,30.0,30,1
1050 EASTERN AVENUE,12.0,12,1
106 LANSDOWNE,12.0,12,1
106 LANSDOWNE AVE,18.0,18,1
1060 EGLINTON AVENUE E,10.0,10,1
1063 MARLEE AVENUE,0.0,0,1
1068 DUFFERIN ST,9.0,9,1
1069 MARKHAM ROAD,65.0,65,1
107 ATLANTIC AVE,0.0,0,1
107 HUMBER COLLEGE,10.0,10,1
1073 BROADVIEW AVE,0.0,0,1
1074 TAPSCOTT RD,15.0,15,1
1077 BROADVIEW AVE,6.0,6,1
1087 MCCOWAN RD,15.0,15,1
109 FINCH AVENUE EAST,19.0,19,1
109 INDUSTRY,13.0,13,1
109 WILLIAM R ALLEN RD,8.0,8,1
1090 KINGSTON ROAD,20.0,20,1
1098 BARMAC DR,6.0,6,1
11 KEELE STREET,12.0,12,1
11 MAIN ST - MAIN AND,10.0,10,1
11 THORNCLIFFE - THORN,0.0,0,1
11 THORNCLIFFE PARK,0.0,0,5
11 THORNCLIFFE PARK DR,0.0,0,4
11 WINGREEN COURT,8.0,8,1
110 BRAYMORE,16.0,16,1
110 BRAYMORE BLVD,8.0,8,1
110 BROADVIEW AVE,5.0,5,1
1100 ARROW ROAD,16.0,16,1
1101 JANE ST,6.0,6,1
1107 MCCOWAN RD,10.0,10,1
111 AUTUMN GLEN CIR,6.0,6,1
111 DELAHAYE STREET,0.0,0,1
111 GRANGEWAY AVE,8.0,8,1
111 KEELESDALE DR,20.0,20,1
111 LAWRENCE AVE,22.0,22,1
111 PROGRESS AVE,63.5,127,2
111 WELLESLEY ST E,10.0,10,1
1116 EGLINTON AVE W,19.0,19,1
112 BEAVER TERRACE,26.0,26,1
112 LANSDOWNE AVENUE,17.0,17,1
1120 KEELE ST,10.0,10,1
1123 MIDLAND AVE,16.0,16,1
1123 SHEPPARD AVE E,30.0,30,1
1125 LESLIE STREET,11.0,11,1
1127 MARKHAM ROAD,65.0,65,1
1135 DAVENPORT RD,15.0,15,1
1137 AVENUE RD,30.0,30,1
1138 BATHURST GATEHOUS,0.0,0,1
1138 BATHURST STREET,0.0,0,1
1138 MCCOWAN RD,10.0,10,1
114 ATLANTIC,0.0,0,1
114 DANFORTH ROAD,20.0,20,1
114 MILL ST,72.0,72,1
1148 FINCH AVE W,5.0,5,1
1148 MCCOWAN RD,15.0,15,1
1149 BRECKON GATE,18.0,18,1
1149 MCCOWAN RD,1.0,1,1
1150 ELLESMERE RD,10.0,10,1
1151 MARKHAM RD,10.0,10,1
1151 WESTON ROAD,24.0,24,1
1155 LANSDOWNE AVE,0.0,0,1
1156 KENNEDY RD,10.0,10,1
118 EXBURY RD,30.0,30,1
1183 FINCH AVE WEST,151.0,151,1
1188 EGLINTON AVE W,10.0,10,1
119 PARKVIEW AVE,22.0,22,1
1195 LESLIE STREET,620.0,620,1
1198 WILLIAN R ALLEN R,10.0,10,1
12 BEAMISH DRIVE,22.0,22,1
12 COLLINSGROVE ROAD,11.0,11,1
12 HIGH PARK AVENUE,25.0,25,1
12 INDUSTRY STREET,5.0,5,1
12 THORNCLIFFE DR,0.0,0,1
12 THORNCLIFFE PARK,9.0,9,1
12 THORNCLIFFE PARK DR,25.0,25,1
120 ARROW ROAD,7.0,7,1
120 BAYVIEW AVE,6.0,6,1
120 EMMETT AVE,24.0,24,1
120 FERRAND DR,12.0,12,1
120 HORNER AVE,10.0,10,1
120 INDUSTRY ST (OUTSI,15.0,15,1
120 QUEENS QUAY EAST,10.0,10,1
120 SINNOTT ROAD,0.0,0,1
1201 LAWRENCE AVE W,0.0,0,1
121 INDUSTRY ST,10.5,21,2
121 INDUSTRY STREET,17.5,35,2
1215 LANSDOWNE,20.0,20,1
122 CARTWRIGHT,0.0,0,1
122 MOORE PARK AVE,26.0,26,1
1225 ELLESMERE RD,10.0,10,1
123 HUMBER COLLEGE BLV,9.0,9,1
1232 BAYVIEW AVE,20.0,20,1
1232 DUFFERIN ST,5.0,5,1
1238 DAVENPORT ROAD,20.0,20,1
124 ATLANTIC AVENUE,5.0,5,1
1240 BAY STREET,25.0,25,1
1240 LAWRENCE AVE W,5.0,5,1
1245 KING STREET WEST,0.0,0,1
125 LAUREL AVENUE,13.0,13,1
125 THE QUEENSWAY,22.2,111,5
1250 EGLINTON,0.0,0,1
1250 WESTON ROAD,15.0,15,1
1251 KENNEDY RD (KENNE,15.0,15,1
1255 MILITARY TRAIL,15.0,15,1
126 QUEENS PLATE DRIVE,9.0,9,1
1265 MILITARY TRAIL (U,15.0,15,1
1265 MORNINGSIDE AVE,8.0,8,1
1267 MILITARY TRAIL,10.0,10,1
1273 WESTON ROAD,22.0,22,1
1275 MORNINGSIDE AVE,8.0,8,1
1276 BLOOR STREET WEST,0.0,0,1
1276 ELLESMERE RD,10.0,10,1
1290 DANFORTH ROAD,10.0,10,1
1295 MILITARY TRAIL,15.0,15,1
12TH STREET AND GARNET,30.0,30,1
13 ST MATTHEWS RD,20.0,20,1
130 ARROW RD,6.5,13,2
130 ARROW ROAD,7.0,7,1
1300 EGLINTON AVE,5.0,5,1
1300 EGLINTON AVE EAST,7.0,14,2
1300 EGLINTON AVENUE E,13.0,26,2
1300 EGLINTON WEST,9.0,18,2
1300 ISLINGTON AVE,0.0,0,1
1300 ISLINGTON AVENUE,16.0,16,1
1301 STEELES AVENUE WE,20.0,20,1
1305 LAWRENCE WEST ( K,0.0,0,1
1306 WESTON ROAD,10.0,10,1
1310 LAKE SHORE,7.0,7,1
1310 LAKE SHORE BLVD E,9.0,9,1
1310 LAKE SHORE BOULEV,9.0,9,1
1313 MCCOWAN RD,30.0,30,1
1315 MORNINGSIDE,10.0,10,1
1315 MORNINGSIDE AVE,8.0,8,1
132 RANGOON RD,8.0,8,1
1320 ISLINGTON AVENUE,16.0,16,1
1320 YONGE STREET,27.0,27,1
1325 LANSDOWNE,24.0,24,1
1325 LANSDOWNE AVE,15.0,45,3
1326 LANSDOWNE AVE,13.5,27,2
1326 VICTORIA PARK AVE,10.0,10,1
1328 LANSDOWNE AVE,7.0,7,1
1328 LANSDOWNE AVENUE,15.0,15,1
133 NEILSON ROUTE,0.0,0,1
1330 LANSDOWNE AVENUE,18.0,18,1
1331 QUEEN STREET EAST,5.0,5,1
1333 KENNEDY RD - UNIT,0.0,0,1
1335 KEELE ST,0.0,0,1
1336 KENNEDY RD,10.0,10,1
1339 WILSON AVENUE,9.0,9,1
135 VANDERHOOF AVE,0.0,0,1
1351 ARROW ROAD,8.0,8,1
137 DISCO,10.0,10,1
1370 WILSON AVENUE,7.0,7,1
1383 WOODBINE AVE,30.0,30,1
1384 WESTON RD,15.0,15,1
1384 WESTON ROAD,8.0,8,1
1386 QUEEN ST W,6.0,6,1
1388 EGLINTON AVENUE W,5.0,5,1
139 GUESTVILLE AVE,8.0,8,1
139 INDIAN GROVE,30.0,30,1
139 ST GEORGE ST,26.0,52,2
1395 SHEPPARD AVE,20.0,20,1
1398 MEADOWVALE RD,10.0,10,1
1398A EGLINTON AVE W,0.0,0,1
1399 BATHURST ST,10.0,10,1
14 ARUNDEL AVE,0.0,0,1
14 HIGH PARK AVENUE,27.0,27,1
14 YORK MILLS RD,0.0,0,1
140 COMMANDER BLVD,30.0,30,1
1404 WILSON AVE,10.0,10,1
1406 MARTIN GROVE,181.0,181,1
1410 MILITARY TRAIL,15.0,15,1
1412 KENNEDY ROAD,10.0,10,1
1425 KENNEDY RD,4.0,4,1
1429 QUEEN ST WEST,10.0,10,1
1430 LAWRENCE AVE E,20.0,20,1
1430 SHEPPARD AVE W,0.0,0,1
1432 BATHURST STREET,10.0,10,1
145 FENMAR DRIVE,6.0,6,1
1450 SHEPPARD AVENUE W,10.0,10,1
1461 LAWRENCE W,0.0,0,1
1468 QUEEN ST W,20.0,20,1
147 ISABELLA ST,10.0,10,1
1470 MIDLAND AVE,15.0,15,1
1472 ON-11A,30.0,30,1
1481 MIDLAND AVE,15.0,15,1
1485A EGLINTON AVENUE,10.0,10,1
149 ROXBOROUGH DRIVE,25.0,25,1
15 A SPRINGHURST AVENU,10.0,10,1
15 GERVAIS DR,6.0,6,1
15 GRIERSON,10.0,10,1
15 HUN CRESENT,9.0,9,1
15 JANE ST,12.0,12,1
15 JANE STREET,12.0,12,1
15 OXFORD DR,0.0,0,1
15 ROUCHELLE CRES,15.0,15,1
15 SAULTER ST,10.0,10,1
15 SAULTER ST S,9.0,9,1
15 VIKING LANE,0.0,0,1
150 DELROY DR,10.0,10,1
150 DYNAMIC DR,9.0,9,1
150 STAINES RD,26.0,26,1
1508 DUFFERIN ST,8.0,8,1
1509 MARKHAM ROAD,20.0,20,1
151 BIRCHMOUNT RD,34.0,34,1
1515 ALBION RD,23.0,23,1
1516 BATHURST STREET,0.0,0,1
1520 KING STREET,5.0,5,1
1540 WILSON AVENUE,15.0,30,2
1545 STEELES AVE WEST,0.0,0,1
155 DEERHIDE CRESCENT,5.0,5,1
155 DUFFERIN ST,16.0,16,1
155 TRANSIT RD,24.0,24,1
155 TRANSIT ROAD,19.0,19,1
155 UNDERHILL DR,25.0,25,1
155N WELLESLEY STREET,10.0,10,1
1560 ROYAL YORK RD,8.0,8,1
1564 EGLINTON AVE W,0.0,0,1
157 FAWCETT TRAIL,22.0,22,1
157 SHEPPARD AVE W,8.0,8,1
158 INDIAN GROVE,10.0,10,1
158 PETWORTH CRESCENT,10.0,10,1
1586 BATHURST STREET,0.0,0,1
1591 WILSON AVENUE,18.0,18,1
16 CARLAW AVENUE,6.0,6,1
16 COLLINGSGROVE ROAD,14.0,14,1
16 COLLINSGROVE RD,9.0,9,1
16 INDUSTRY STREET,20.0,20,1
16 LEBOVIC,0.0,0,1
16 OLD MILL TRAIN,11.0,22,2
160 HORNER AVE,22.0,44,2
160 TRANSIT RD,5.0,5,1
160 TRANSIT ROAD,9.5,19,2
1614 QUEEN ST E,10.0,10,1
1622 DANFORTH AVENUE,18.0,18,1
1623 WESTON RD,10.0,10,1
1635 SHEPPARD AVENUE W,7.0,7,1
1638 DUFFERIN STREET,10.0,10,1
164 THE ESPLANADE,464.0,464,1
1641 MARKHAM RD,30.0,30,1
165 LEEWARD GLENWAY,0.0,0,1
1678 MIDLAND AVENUE,9.0,9,1
168 SYMINGTON ROUTE,0.0,0,1
1685 FINCH AVE WEST,5.0,5,1
1685 WILSON AVENUE,0.0,0,1
1688 DUFFERIN STREET,9.0,18,2
1697 KIPLING AVE,20.0,20,1
17 COMMISSIONERS ST,15.0,15,1
17 INDUSTRY ST,10.0,10,1
17 VICKERS RD,24.0,24,1
17 WAYSIDE AVE,27.0,27,1
170 EVANS AVE,15.0,15,1
170 TWELFTH STREET,30.0,30,1
170 VAUGHAN ROAD,7.0,7,1
1700 KEELE ST - KEELE,10.0,10,1
1700 SHEPPARD AVE E,10.0,10,1
1724 STEELES AVE E,10.0,10,1
1731 WARDEN,10.0,10,1
1733 LAWRENCE AVE W,10.0,10,1
1735 STEELES AVE WEST,7.0,7,1
1738 WILSON AVENUE,12.5,25,2
174 FENMAR DR,20.0,20,1
1743 EGLINTON AVE E,10.0,10,1
1749 BATHURST ST,0.0,0,1
175 WYNFORD DR,0.0,0,1
1750 SHEPPARD AVENUE W,8.0,8,1
176 ACTON AVENUE,22.0,22,1
1760 BIRCHMOUNT RD (BI,0.0,0,1
1761 SHEPPARD AVE E,24.0,24,1
1763 DUFFERIN STREET,0.0,0,1
177 LANSDOWNE,18.0,18,1
1770 MIDLAND AVE,140.0,140,1
178 MAIN ST,10.0,10,1
179 DOWNSVIEW PARK BLV,30.0,30,1
1797 KEELE - KEELE AND,0.0,0,1
18 PARKLAWN ROAD,26.0,26,1
18 WOOBINE DOWNS BOULV,10.0,10,1
18 WYNFIORD DR,0.0,0,1
180 BLOOR STREET EAST,60.0,60,1
180 EGLINTON AVE W,12.0,12,1
1800 MARKHAM ROAD,12.0,12,1
1800 SHEPPARD AVE E,22.0,22,1
1800 SHEPPARD AVENUE E,12.0,24,2
1800 THE QUEENSWAY,18.0,18,1
1818 EGLINTON,12.0,12,1
1829 LAWRENCE AVE,10.0,10,1
183 EASTBOURNE AVE,10.0,30,3
184 WILSON AVE,8.0,8,1
1850 WILSON AVE,25.0,25,1
1860 MIDLAND AVE,11.0,11,1
1862 BATHURST (BATHUST,0.0,0,1
188 ANTIBES DR,15.0,15,1
1884 DAVENPORT ROAD,0.0,0,1
189 BATHURST STREET,10.0,10,1
189 DUFFERIN ST,8.0,8,1
189 MCINTOSH STREET,20.0,20,1
189 YORK MILLS ROAD,0.0,0,1
1893 MCNICOLL AVE,27.5,55,2
1893 MCNICOLL AVENUE,0.0,0,1
19 EASTDALE AVE,10.0,10,1
19 FARMVIEW CRESCENT,20.0,20,1
19 INDUSTRY STREET,10.0,10,1
19 SHEPPARD AVENUE EAS,15.0,15,1
190 QUEENS QUAY,15.0,15,1
1900 EGLINTON AVENUE,0.0,0,1
1900 YONGE STREET,0.0,0,1
1908 WILSON AVE,23.0,23,1
191 CONLINS ROAD,20.0,20,1
1910 KENNEDY RD UNIT 4,15.0,15,1
1910 YONGE ST,20.0,20,1
1912 EGLINTON AVE EAST,6.0,6,1
1914 R BLOOR ST W,30.0,30,1
1919 WESTON RD,15.0,15,1
192 ANDONA CRES,15.0,15,1
192 TORYORK DR,9.0,9,1
1922 DAVENPORT RD,0.0,0,1
193 MARKLAND DRIVE,17.0,17,1
1942 WESTON ROAD,0.0,0,1
1949 KIPLING AVENUE,0.0,0,1
195 MONTCLAIR AVE,8.0,8,1
195 REXLEIGH,10.0,10,1
195 REXLEIGH DR,16.0,16,1
195 REXLEIGH DRIVE,10.0,10,1
195 WYNFORD,18.0,18,1
196 ST GEORGE ST,30.0,30,1
196 WINEVA AVE,10.0,10,1
197 PARKSIDE DRIVE,10.0,10,1
1979 VICTORIA PARK AVE,9.0,9,1
198 HILDA AVE,28.0,28,1
1980 OLD YARD STOCKS R,24.0,24,1
1995 KIPLING AVENUE,20.0,20,1
2 BEACONHILL RD,20.0,20,1
2 GLEN STEWART AVENUE,10.0,10,1
2 LANSDOWNE AVENUE,15.0,30,2
2 LAURA ROAD,10.0,10,1
2 MASCOT PL,30.0,30,1
2 NATURE PATHWAY,12.0,12,1
2 OAKDALE RD,15.0,15,1
2 VANDERBRENT CRES,20.0,20,1
2 WICKMAN ROAD,8.0,8,1
20 CAMFORTH,70.0,70,1
20 CARNFORTH RD,25.0,25,1
20 COMMISISIONERS STRE,12.0,12,1
20 COMMISSIONERS STREE,8.0,16,2
20 COMSTOCK,0.0,0,1
20 COMSTOCK RD,12.0,24,2
20 COMSTOCK ROAD,14.5,29,2
20 GRAYDON HALL,20.0,40,2
20 GRAYDON HALL DRIVE,30.0,30,1
20 HOWARD MOSCOE,6.0,6,1
20 INDUSTRY,10.0,10,1
20 INDUSTRY ST,22.5,45,2
20 INDUSTRY STREET,12.0,12,1
20 LEBOVIC AVE #773,6.0,6,1
20 MICHEAL POWER PL,25.0,25,1
20 SCHOFIELD AVE,25.0,25,1
20 YORK MILLS RD,20.0,20,1
20 YORK MILLS ROAD,25.0,25,1
200 EMMETT,115.0,115,1
200 QUEENS QUAY EAST,15.0,15,1
200 TOWN CENTRE COURT,15.0,15,1
200 TRETHEWEY DRIVE,10.0,10,1
200 WELLESLEY ST E (WE,60.0,60,1
2005 DANFORTH AVE,12.0,12,1
2010 MARTIN GROVE,10.0,10,1
2011 LAWRENCE AVENUE E,14.0,14,1
2013 MARKHAM RD,12.0,12,1
2021 DAVENPORT,0.0,0,1
2030 MCNICOLL AVENUE,42.0,42,1
2034 EGLINTON AVE W,10.0,10,1
2047 ISLINGTON AVENUE,16.0,16,1
205 REXLEIGH DR,10.0,10,1
205 SHERWAY GARDENS,16.666666666666668,50,3
205 SHERWAY GARDENS RD,25.0,25,1
2050 JANE STREET,8.0,8,1
2059 EGLINTON AVE WEST,30.0,30,1
2075 BAYVIEW AVE,0.0,0,1
2075 YONGE ST,15.0,15,1
21 COMSTOCK RD,10.0,10,1
21 ETIENNE STREET,19.0,19,1
21 KEELE ST,10.0,20,2
21 KEELE STREET,11.0,22,2
21 ROCHEFORT DRIVE,0.0,0,1
21 SAN VITO WAY,20.0,20,1
21 SIGNAL HILL,7.0,7,1
21 WINSTANLY CRESCENT,10.0,10,1
210 COSBURN AVE,0.0,0,1
210 WILSON AVENUE,6.0,6,1
2121 KINGSTON ROAD,30.0,30,1
213 DANFOIRTH AVENUE,6.0,6,1
2143 YONGE STREET,30.0,30,1
216 GREENWOOD AVENUE,12.0,12,1
217 DUFFERIN STREET,5.0,5,1
218 YARMOUTH (OSSINGTO,0.0,0,1
2180 YONGE ST,10.0,10,1
2190 YONGE ST,24.0,24,1
2190 YONGE STREET,10.0,10,1
22 BENTON RD,25.0,25,1
22 FRONT,25.0,25,1
22 LEBOVIC AVENUE,10.0,10,1
22 ROCKBANK CRES,12.0,12,1
220 ENCHANTED HILLS CR,28.0,28,1
2201 MARKHAM ROAD,12.0,12,1
221 O'CONNOR DR,22.0,22,1
2215 LAWRENCE AVE W,18.0,18,1
2216 LAWRENCE AVE E,20.0,20,1
2224 DUFFERIN STREET,17.0,17,1
2228 KENNEDY RD,10.0,10,1
223 AVENUE RD,25.0,25,1
223 MARKHAM ROAD,10.0,10,1
2233 SHEPPARD AVE - TT,0.0,0,1
2233 SHEPPARD AVE W,0.0,0,1
2240 WESTON RD,0.0,0,1
225 CARRIER DRIVE,22.5,45,2
225 MILIKEN,18.0,18,1
225 MILIKEN BLVD,8.0,8,1
225 MILLIKEN BLVD,14.625,117,8
225 MILLIKEN ROAD,18.0,18,1
225 WILSON AVE,10.0,10,1
2255 SHEPPARD AVE W AN,10.0,10,1
2260 MARKHAM ROAD,8.5,17,2
2265 JANE ST,12.0,12,1
2267 WARDEN AVE,18.0,18,1
227 BRIDGELAND AVE,18.0,18,1
227 ROYAL YORK,9.0,9,1
227 WINDERMERE,27.0,27,1
2270 MARKHAM ROAD,21.0,21,1
2273 DUNDAS STREET,5.0,5,1
2283 BLOOR ST,15.0,15,1
229 CONSUMERS ROAD,22.0,22,1
23 ALICEWOOD COURT,0.0,0,1
23 DAWES ROUTE,0.0,0,1
23 GASPE ROAD,20.0,20,1
23 PILKINGTON DRIVE,7.0,7,1
23 THORNCLIFFE PARK DR,10.0,10,1
230 IAN MACDONALD BLVD,15.0,30,2
2300 STEELES AVE W,5.0,5,1
2300 YONGE ST,11.5,23,2
2301 DANFORTH AVENUE,10.0,10,1
2301 VICTORIA PARK AVE,9.0,9,1
2304 KEELE ST,12.0,12,1
231 IAN MACDONALD,30.0,30,1
233 DUPLEX AVE,10.0,10,1
2366 EGLINTON AVE WEST,12.0,12,1
238 DANFORTH,14.0,14,1
2388 DUFFERIN STREET,16.0,16,1
239 RICHMOND STREET WE,0.0,0,1
24 HOWARD MOSCOE WAY,7.5,15,2
24 HUMBERLINE DR,0.0,0,1
2404 LAKE SHORE BOULEV,9.0,9,1
2415 JANE STREET,0.0,0,1
242 BRIMLEY RD,16.0,16,1
2421 FINCH AVENUE WEST,4.0,4,1
2422 BLOOR STREET WEST,30.0,30,1
243 ALBERTA AVE AND E,10.0,10,1
2430 EGLINTON AVE EAST,12.0,12,1
2438 EGLINTON AVE E,18.0,36,2
2442 BLOOR ST W,6.0,6,1
245 BARTLEY DR,0.0,0,1
2455 KENNEDY AVE E,20.0,20,1
2460 WESTON RD,15.0,15,1
2460 WESTON ROAD,0.0,0,1
2461 EGLINTON AVE E,11.0,33,3
2461 EGLINTON AVENUE E,11.0,33,3
2461A EGLINTON AVE E,10.0,10,1
247 EGLINTON AVE W,14.0,14,1
25 DON MILLS ROUTE,0.0,0,1
25 GREENBRAE CIRCUIT,10.0,10,1
25 HAYDEN STREET,0.0,0,1
25 MARTHA EATON WAY,8.0,8,1
25 REDWING PL,20.0,20,1
25 ROBERT WOODHEAD CRE,10.0,10,1
25 SHERWAY GARDENS,25.0,25,1
25 SIGNAL HILL,7.0,7,1
25 STUBBS DR,30.0,30,1
25 THORNCLIFFE PARK,18.0,18,1
250 CONSUMERS RD,30.0,30,1
250 DANFORTH,8.0,8,1
250 DAVENPORT,48.0,48,1
250 DUNCAN STREET,0.0,0,1
250 UNIVERSITY AVE,0.0,0,1
251 BRUNSWICK AVE,10.0,10,1
2516 JANE ST,25.0,25,1
252 OLD WESTON ROAD,15.0,15,1
253 MCNICOLL AVENUE,10.0,10,1
254 KENNEDY AVE,140.0,140,1
254 STAINES RD,223.0,223,1
254 WILSON AVENUE,7.0,7,1
2541 KIPLING AVE,13.0,13,1
2545 BAYVIEW,10.0,10,1
255 ASSINIBOINE ROAD,30.0,30,1
255 MORNINGSIDE AVE,18.0,18,1
255 MORNINGSIDE AVENUE,7.0,7,1
2550 DANFORTH AVENUE,12.0,12,1
2554 FINCH AVENUE,8.0,8,1
2556 LAKESHORE BLVD WE,12.0,12,1
2558 DANFORTH AVENUE,30.0,30,1
2580 BIRCHMOUNT RD,27.0,27,1
259 ARMADALE AVENUE,15.0,15,1
26 DOURO ST,7.0,7,1
26 FINCH AVE E,15.0,15,1
26 FINCH AVENUE EAST,10.0,10,1
26 HUDDLESTON,0.0,0,1
26 HUDDLESTON CRESENT,21.0,21,1
26 OAKWOOD AVENUE,10.0,10,1
261 BRUNSWICK AVENUE,0.0,0,1
2610 FINCH AVE WEST,8.0,8,1
2614 EGLINTON AVE W,26.0,26,1
2615 DANFORTH AVENUE,10.0,10,1
2622 DANFORTH AVENUE,15.0,15,1
2627 ST CLAIR AVE W,25.0,25,1
263 CARRIER DR,18.333333333333332,55,3
"263 CARRIER DR, ETOBIC",20.0,20,1
263 CARRIER DRIVE,10.0,20,2
2635 EGLINTON AVE W,24.0,24,1
264 AUKLAND RD,10.0,10,1
265 ARMADALE AVE,15.0,15,1
2653 EGLINTON AVENUE E,0.0,0,1
2663 JANE ST,25.0,25,1
2666 DANFORTH AVENUE,10.0,10,1
2671 DANFORTH AVE,16.0,16,1
2672 ST CLAIR AVENUE,27.0,54,2
2672 ST CLAIR AVENUE E,20.0,20,1
2672 ST CLAIR AVENUE W,24.0,24,1
2676 BLOOR STREET WEST,21.0,21,1
2685 YONGE ST (YONGE A,0.0,0,1
27 PROUDBANK MILLWAY,10.0,10,1
27 ST ALBANS RD,17.0,17,1
27 ST ALBANS ROAD,10.0,20,2
27 ST ALBANS STREET,20.0,20,1
270 LUMSDEN AVENUE,18.0,18,1
2701 EGLINTON W,8.0,8,1
"271 MARIA STREET, DUND",0.0,0,1
272 SIGNET DRIVE,6.0,6,1
2720 STEELES AVENUE,10.0,10,1
2745 WESTON,10.0,10,1
2745 WESTON RD,10.0,30,3
2745 WESTON ROAD,7.0,7,1
275 BLEECKER STREET,20.0,20,1
2766 OLD LESLIE STREET,21.0,21,1
279 TOUCHSTONE DR,15.0,15,1
279 TOWNSEND RD,7.0,7,1
28 BATHFORD CR,7.0,7,1
28 BERMONDSEY RD,25.0,25,1
28 COLONEL SAMUEL PARK,7.0,7,1
28 COLONEL SAMUEL SMIT,7.5,30,4
28 GLEN BELLE CRESCENT,13.0,13,1
28 HUDDLESTON COURT,10.0,10,1
28 HUDDLESTON CT.,13.0,13,1
28 QUEENS AVENUE,11.0,11,1
282 LAKE SHORE BLVD WE,20.0,20,1
2820 STEELS AVENUE,0.0,0,1
2822 KEELE ST,10.0,10,1
286 MAIN STREET,20.0,20,1
288 LAKE SHORE BLVD EA,0.0,0,1
2885 EGLINTON AVENUE E,10.0,10,1
289 KEELE ST,10.0,10,1
29 COLONEL SAMUEL SMIT,15.0,15,1
29 DUFFERIN ROUTE,0.0,0,1
29-87 DIRECTOR CRT,15.0,15,1
2900 JANE ST,25.0,25,1
2900 KEELE ST,10.0,10,1
2901 KENNEDY ROAD UNIT,14.0,14,1
291 GRANDRAVINE,268.0,268,1
291B JANE STREET,7.0,7,1
2935 EGLINTON AVE E,12.0,12,1
2935 EGLINTON AVENUE E,11.333333333333334,34,3
2939 ST CLAIR AVE EAST,10.0,10,1
2942 LAKE SHORE BLVD W,18.0,18,1
2943 KENNEDY RD,7.0,7,1
2943 ST CLAIR AVE EAST,10.0,10,1
2946 A DUNDAS ST W,25.0,25,1
2963 WESTON RD,0.0,0,1
2969 SHEPPARD AVE E,10.0,10,1
2978 WESTON RD,7.0,7,1
3 MILADY RD (FINCH AND,0.0,0,1
3 PARK HOME AVE,0.0,0,1
30 COLLEGE ST - WEST O,0.0,0,1
30 DENISION AVE,10.0,10,1
30 DENTON AVE,30.0,30,1
30 DENTON AVENUE,12.5,25,2
30 HANNA AVENUE,5.0,5,1
30 LOCKPORT AVE,0.0,0,1
30 N STAR RD,20.0,20,1
300 BAY,6.0,6,1
300 BAY STREET,25.0,25,1
