Line,Avg_Delay,Total_Delay,Incident_Count
506 REPLACEMENT,5.0,5,1
506 SHUTTLE,5.0,10,2
506 SHUTTLE BUS,5.0,5,1
507,10.0,10,1
507 (600 RAD),0.0,0,1
508 LAKESHORE,0.0,0,1
509 HARBOURFRONT,7.125,57,8
51 LESLIE,29.505226480836235,8468,287
510,5.6,28,5
510 SPADINA,3.4,68,20
511,8.0,48,6
511 BATHURST,36.111111111111114,325,9
511 BATHURST (600),0.0,0,1
512,9.25,37,4
512 ST CLAIR,2.0,10,5
512 ST CLAIR - 600 RAD,0.0,0,1
512 ST. CLAIR,16.5,66,4
513 QUEEN EAST,10.0,10,1
52,17.5,70,4
52 LAWRENCE WEST,19.749259039715472,33317,1687
52 LAWRENCE WEST & 952,73.0,73,1
52B LAWRENCE WEST,171.0,171,1
52F LAWRENCE WEST,0.0,0,1
53 STEELES EAST,16.24467005076142,16001,985
534,9.0,9,1
54,0.0,0,1
54 LAWRENCE EAST,18.369747899159663,21860,1190
55 WARREN PARK,78.84883720930233,6781,86
555,0.0,0,17
56 LEASIDE,22.51310861423221,6011,267
57 MIDLAND,24.612179487179485,7679,312
59 MAPLE LEAF,41.06837606837607,9610,234
59 MAPLE LEAF (A-BRANC,119.0,119,1
60 STEELES WEST,10.873983739837398,5350,492
600,1.5472636815920398,311,201
600 (42 CUMMER),0.0,0,1
600 (RAD),0.0,0,2
600 - ARROW DIVISION,0.0,0,1
600 - QUEENSWAY GARAGE,23.0,23,1
600 - RAD,0.0,0,1
600 - RUNNING AS 506,0.0,0,1
600 CONSTRUCTION,0.0,0,1
600 CONSTRUCTION XTRA,0.0,0,1
600 LINE SHUTTLE,0.0,0,1
600 RAD,0.7628865979381443,74,97
600 RAD (41 ROUTE),0.0,0,1
600 RAD (LINE 1 SHUTTL,2.0,2,1
600 RAD - 116 BUS,0.0,0,1
600 RAD - LINE 1 SHUTT,0.0,0,2
600 RAD - OPERATING AS,1.0,1,1
600 RAD - OPERATING ON,0.0,0,1
600 RAD BUS,0.0,0,8
600 RAD LINE 1,0.0,0,1
600 RAD LINE 1 SHUTTLE,1.0,1,1
600 RAD ON 67 PHARMACY,0.0,0,1
600 RAD'S,0.0,0,1
600 SERIES,1.0,5,5
600 SERIES (84 SHEPPAR,0.0,0,1
